gl,bf,proper,dist,absmag,x,y,z
Gl 203,,,8.8106,12.755,1.208775,8.601568,1.475993
Gl 465,,,8.8511,11.545,-8.357279,-0.91066,-2.770875
Gl 433,,,8.8826,10.067,-7.445463,0.800648,-4.777978
NN 4247,,,8.9023,12.242,6.808447,-3.882732,4.22142
Gl 318,,,8.9047,12.132,-4.84359,5.694145,-4.843849
Gl 785,,,8.9111,5.98,4.417951,-6.593863,-4.049903
Gl 424,,,8.9182,9.559,-3.594174,0.632449,8.137924
,,,8.919,10.528,1.81341,-5.676232,-6.636301
Gl 216A,13Gam Lep,,8.927,3.836,0.558889,8.231515,-3.40875
NN 3128,,,8.9286,15.856,7.563603,4.465963,1.602182
Gl 283A,,,8.9286,13.246,-3.612268,7.716286,-2.672154
Gl 283B,,,8.9286,16.666,-3.612041,7.7158,-2.671986
NN 3707,,,8.9286,12.306,-8.613129,-0.37923,-2.321657
NN 3820,,,8.9286,13.246,-7.288764,-4.173097,-3.029698
Gl 216B,,,8.9694,6.366,0.562689,8.271905,-3.420733
NN 4360,,,9.009,14.727,8.635281,-0.545965,-2.509168
Gl 51,,,9.0171,13.885,4.02358,1.14093,7.988565
,,,9.0188,10.574,-0.328154,2.214126,-8.736631
Gl 357,,,9.0236,11.133,-6.784803,4.928214,-3.330451
,,,9.0318,12.501,7.436065,-1.739907,-4.821936
Gl 150,23Del Eri,,9.0408,3.739,5.006502,7.370189,-1.533131
Gl 451A,,Groombridge 1830,9.0917,6.627,-7.187679,0.220247,5.561623
Gl 849,,,9.0959,10.616,8.035603,-4.197679,-0.735916
GJ 2066,,,9.1224,10.279,-5.104251,7.557897,0.207372
Gl 502,43Bet Com,,9.1291,4.428,-7.676072,-2.489414,4.268726
Gl 137,96Kap1Cet,,9.1399,5.035,5.88441,6.973226,0.537318
Gl 84,,,9.1424,10.385,7.447634,4.522928,-2.766518
Gl 451B,,,9.1567,12.191,-7.239693,0.221836,5.602057
NN 3421,,,9.1659,13.489,-1.529443,5.338769,7.291918
NN 3325,,,9.2073,11.889,2.150567,8.520023,-2.749301
Gl 442A,,,9.2208,5.066,-6.99949,0.412234,-5.988563
Gl 442B,,,9.2396,15.172,-7.014188,0.412626,-6.000094
Gl 827,Gam Pav,,9.2618,4.377,3.025799,-2.397286,-8.418648
Gl 190,,,9.2721,10.444,1.95987,8.588938,-2.891723
Gl 176,,,9.2739,10.114,2.894283,8.279782,3.012961
NN 3135,,,9.2756,12.313,6.840438,4.183997,-4.662544
NN 3380,,,9.2764,14.633,-0.064926,5.979256,7.091959
NN 3801,,,9.279,12.192,-6.990214,-3.361201,5.093044
GJ 1253,,,9.2937,14.199,2.884081,-3.894277,7.930293
Gl 226,,,9.3729,10.621,-0.058,1.285826,9.283912
,,,9.402,9.514,0.382999,9.391268,-0.234532
NN 3192A,,,9.4197,10.53,6.331435,6.434849,-2.690055
Gl 358,,,9.467,10.839,-5.843427,4.100249,-6.220166
Gl 694,,,9.4787,10.606,-0.482592,-6.872396,6.510036
NN 3988,,,9.5057,13.67,-1.449495,-5.749763,7.429504
NN 3306,,,9.5147,13.878,3.299977,8.804084,-1.458691
GJ 1065,,,9.5329,12.894,5.06738,8.010843,-1.012052
Gl 432B,,,9.5383,15.103,-7.965007,0.890014,-5.171626
Gl 432A,,,9.5593,6.058,-7.982524,0.892159,-5.182636
Gl 633,,,9.5602,12.778,-2.249263,-6.248781,-6.878976
GJ 1207,,,9.5785,12.374,-2.588404,-9.193471,-0.726586
GJ 1001,,,9.5969,12.929,7.27354,0.148745,-6.258677
Gl 434,61    UMa,,9.6117,5.396,-7.922294,0.656542,5.402774
NN 3253,,,9.6154,13.785,4.848881,7.811766,2.81435
NN 3275,,,9.6154,12.985,3.759917,8.261925,3.171677
Gl 569A,,,9.6534,10.187,-6.714014,-6.398547,2.67718
GJ 1125,,,9.6656,11.784,-7.686867,5.858842,0.05443
NN 3855,,,9.6805,17.951,-3.864652,-2.983062,8.360544
,,,9.6824,11.16,-1.772845,-9.425782,-1.326847
